"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048732","gland development","399/11536","451/18805",0.88470066518847,1.44216331560933,11.9734974477524,9.93079233040524e-39,6.31896315983685e-35,2.31648797938716e-35,"9133/79733/8140/5080/2146/6790/1448/8792/6663/445/5307/7298/1482/10481/5111/6496/5268/6715/1054/4830/8543/1051/6943/2296/5449/9420/8820/2304/55840/2253/51733/4939/706/100/7473/79152/3549/51599/7128/9095/50/5106/7422/999/9076/4781/5604/2692/7124/1030/3569/56676/8772/5629/3091/3099/7039/1956/570/5469/7490/8456/7372/4192/4478/655/81027/5605/887/79084/1950/675/4357/1588/6356/25928/5594/10018/3175/7052/6927/26019/5371/1374/7498/1394/23513/790/9148/6422/8928/2049/382/2288/7547/6714/3720/8379/2002/6091/3398/6531/3239/64065/6599/1050/1399/64220/208/4669/25807/11331/5009/2876/5361/5970/5660/7351/326/581/1459/1813/2131/6722/11231/6608/5122/80004/8837/26257/7067/7477/7448/2194/6195/2030/3586/4580/5727/10913/6647/51156/51350/5617/1361/1447/7421/55294/10419/190/29842/7472/673/4838/6426/3651/23322/5253/4851/3219/998/51176/28996/54576/79144/1181/1545/7299/9113/335/2627/1999/23242/9480/6657/6495/3482/64919/7001/3142/9914/10269/6729/5589/6928/785/6899/9368/27023/7471/1435/6598/3516/284217/3184/5626/859/1969/10765/5290/81606/7046/207/3717/7040/51043/634/3084/1386/4233/5894/3988/6881/823/657/2671/2267/5156/5270/10116/8022/2356/1896/6239/4041/23213/79810/55870/7080/123872/1906/3911/3235/9821/7038/1436/4790/4089/4087/7849/57142/7392/4864/5154/5774/1081/5454/5663/1497/9612/10818/23607/4853/3207/5324/3642/3206/6658/650/5308/2624/2736/55036/374/3200/171023/1605/25/2294/34/23705/3673/1385/429/8600/9464/5916/3670/9423/6909/5896/8854/9935/5909/5423/3488/2260/538/220/6662/6670/4824/22890/38/4855/472/2909/6777/1392/23129/3280/2263/5310/9104/8626/3321/2516/3664/55679/7337/5595/4763/5087/1499/3232/8945/1373/2252/2908/4088/8660/10522/6794/6778/8648/2735/4124/3371/3082/5914/394/8452/1543/1027/1028/6299/3643/7474/6776/57045/596/80169/3213/595/3202/5021/84159/55727/540/5311/80279/2246/27122/7042/3400/8829/7048/5176/10370/2247/6591/8835/6469/2691/1102/5618/9247/4488/4313/3625/7494/2099/7481/5764/857/1396/10512/1909/4487/3249/54361/2737/2487/247/2697/7043/1036/367/79971/7049/6926/7166/5105/652/2066/3158/3169/2625/5241",399
"GO:0043434","response to peptide hormone","431/11536","494/18805",0.87246963562753,1.42222533789665,11.9802848880946,2.74276766688163e-38,8.7261153321839e-35,3.19893323674194e-35,"890/5080/990/8792/445/133/6772/2888/51237/3973/6715/80339/4067/114/28999/2642/1537/51083/2529/15/2058/83990/6513/3291/3638/23175/5588/1445/5106/6338/5315/10626/142/4690/1312/2805/2692/8013/4160/1509/9978/5905/7097/2641/2048/3692/5743/4644/1956/1536/5795/1959/2650/9021/655/5910/238/3297/1438/6199/5967/5591/5594/6654/5771/9734/88/2047/8891/2264/5578/8651/10603/26291/1147/2932/1394/8805/790/1395/1432/2049/5068/4914/2778/57761/9971/249/5747/760/6714/6690/2195/2770/3795/3164/5579/2688/2885/30837/3172/6599/57707/2069/6775/2043/208/5313/5009/55532/5970/3636/5251/7351/79109/682/3033/9361/5122/8837/677/4142/2321/3416/51094/5584/1442/3586/4593/5770/4691/5305/8615/3484/1444/7425/3553/5781/51052/2303/3718/7301/5829/673/9663/4193/2041/6569/79837/8048/6885/5566/5140/5443/4218/2740/5968/2050/6429/2475/2645/1585/5020/1545/3265/23516/1636/5465/6098/9640/65010/59341/23484/5936/5207/2660/6198/81565/9340/10461/1583/2044/4825/2887/3630/8503/4058/1967/23191/7471/9518/7352/10726/5587/815/4040/1969/5296/5290/8890/207/3717/4486/7040/51043/634/4233/5894/79746/3645/4780/1979/23433/197/64710/25948/5156/1176/186/54765/2931/4041/6272/1906/8892/2844/2852/1436/2798/4790/2064/55777/8471/1443/2689/4048/4149/10458/6774/140710/64506/6093/183/5979/2875/7253/6339/2822/27019/8396/5319/8893/23607/55022/8036/9475/1584/5458/6773/1398/2693/847/6655/9882/2695/374/645/29988/3815/3690/1605/7076/858/1385/2324/5170/55625/4986/27131/2771/64397/112/2549/8850/22937/23235/51763/3030/3764/54328/5872/23038/6814/5573/3488/2260/54832/4916/10768/3716/56729/7249/6464/6517/6431/8473/6777/6667/55023/7297/5580/5786/23236/1910/23411/51141/7054/54741/4641/2263/2729/9852/5286/10014/2890/5562/55667/10499/2516/23189/3624/26060/3784/1407/6443/6716/5925/5530/5595/2155/4921/4131/5791/1373/4088/8660/490/11132/5295/6794/7010/6778/8648/5164/4303/4882/6548/1291/6337/3791/8452/1027/4920/4435/1958/3643/2322/6776/558/8743/5590/181/324/8412/5021/2261/7248/6844/4929/114882/5919/9847/2308/2042/2353/1277/6340/6938/2241/4747/10580/5468/5166/1393/8835/55198/11031/1281/9365/3952/1513/7075/7832/6653/3625/6720/7494/3480/6387/6833/5159/857/2203/2045/1909/2690/4915/5167/185/1036/3667/2200/23371/7049/7031/9370/5105/2066/3158/1408/8614",431
"GO:0045785","positive regulation of cell adhesion","434/11536","499/18805",0.869739478957916,1.41777487012861,11.9154724592242,8.56919178803628e-38,1.8175255782425e-34,6.6629224569433e-35,"10563/29851/6352/7037/9435/3932/80380/55612/3559/6347/3126/3112/5645/8767/3561/5317/1236/25975/10859/3654/55423/3574/3575/4860/4651/4067/7412/9289/864/3458/959/11151/10562/2810/6541/942/2529/3329/8876/3381/1991/10288/3689/5788/916/6375/100/2525/3600/3549/923/940/9806/939/5588/3965/9308/10808/1445/7422/865/10148/86/6789/9200/6659/54518/6504/6484/4690/6850/246/10675/7480/8013/7124/912/5329/3569/56244/1378/8772/3119/10164/8440/5795/10125/3071/3135/2650/8808/6376/100133941/4192/655/7525/5724/5034/2651/55083/7052/54440/5578/3570/3593/8651/7264/140885/3558/729230/10326/2932/3592/51571/6597/9780/3109/811/5345/11006/6422/23149/6693/3108/708/50848/78986/3552/6809/3170/29117/3122/1326/6714/64127/51144/970/57091/921/920/6599/402/3987/64410/23308/1399/2043/6461/51412/101/3111/2243/941/10109/5970/3606/2056/8728/3105/6363/1758/2266/199/84861/10892/2113/8744/7292/8740/2185/7448/11221/27185/3586/10385/566/11126/2811/6603/972/7535/7409/3707/3676/80005/1948/11187/2534/3553/1604/5781/2303/60/673/4838/2041/3146/2526/3565/998/51176/3133/2475/9530/8861/335/2523/5155/5777/9093/9092/7016/6366/6657/3956/9840/3113/8943/1947/10076/3273/6401/5879/6602/975/84034/1540/23476/26073/3142/8754/177/54566/567/55604/55626/6046/3655/1435/8915/6598/10524/3037/284217/2316/284/5296/5290/55274/207/3717/7040/51043/2033/960/2319/6188/3084/3678/27/5881/5581/50943/2244/59067/3115/114548/301/6605/22920/6281/6239/7189/961/1803/11148/10630/1949/2064/25890/1021/6666/4976/6093/6251/572/5979/3566/8764/80173/8874/6604/3491/25865/4092/3594/30835/3120/387/3728/1398/7030/8995/59339/2736/51561/6708/9448/3690/4301/1605/25/2294/10519/9580/2335/3346/288/3673/11078/5170/8600/3976/9270/1725/5420/51206/5896/29984/6237/240/6810/3716/55193/22890/8546/463/3356/57669/2309/472/57178/6777/6370/9647/7297/8613/6595/10725/3280/7082/29108/399/9655/5562/3611/3915/7070/8289/6385/9265/55679/5530/6601/10211/1601/2013/8631/1960/4088/7010/4811/4739/5914/3373/3791/604/7402/7474/81545/5590/3685/4179/7168/79625/948/8646/10272/3675/10085/7248/10979/6403/7042/3912/1793/54453/8829/7048/79679/1511/30008/10370/1295/22915/1012/6469/2192/3485/3952/2199/4254/7494/4653/6387/11117/857/3908/9223/7704/54361/2737/1842/3913/3572/3479/4680/10451/1307/3117/5105/3169/2625/10551",434
"GO:1903829","positive regulation of protein localization","433/11536","499/18805",0.867735470941884,1.41450810775504,11.8223002272967,3.67565625343244e-37,5.84705018514765e-34,2.14348796252797e-34,"983/3002/5347/1894/952/7037/29899/22948/5317/27346/1029/919/114/3458/9585/908/2810/2867/54972/10576/3208/3783/7545/3689/10059/5208/10541/5880/4771/5106/7422/999/1020/6659/7443/142/27032/5467/945/7124/23636/5027/8882/7097/2641/2048/55166/5743/348/3091/57214/5901/1956/1830/7273/7203/55835/3596/245812/10055/4478/1080/1981/4248/7305/55741/10574/1950/3059/10575/57602/25874/2182/5578/5371/10134/6769/8431/55737/2932/9868/10807/8934/1432/3552/54471/64328/3326/382/6809/7332/9971/8111/6714/6721/2770/5579/5481/8447/11156/57707/8851/391/1399/10802/312/208/101/65985/2243/2035/7855/3320/80149/51068/51768/2266/682/1459/5478/8878/64083/3799/6608/5122/10857/5621/10155/5584/3745/65220/2010/9777/43/51124/5962/7099/51100/11187/2534/3553/55704/59286/55294/10445/654/10178/4193/7447/3651/5566/998/4946/26154/2645/50855/10694/7476/3265/3843/7175/10075/11235/7016/5599/3985/54552/1131/10542/7429/7015/7323/5213/2850/51160/51548/51614/9776/10527/975/1540/23208/6616/8754/3684/4825/5715/9662/3630/10413/54434/785/9451/9860/55811/54550/1739/11190/10972/27113/9746/51574/5587/23379/2316/11261/1969/5296/5290/81285/207/3717/57787/2147/7040/2033/846/8536/149628/5581/2244/23086/11143/2622/65992/3688/79752/9495/55754/11315/22994/7984/5780/29775/10369/2931/23435/5593/1906/79778/640/2852/27429/7251/55135/2064/1263/7531/351/8314/5116/57142/2767/493/4947/8841/63928/135/23400/572/7430/5494/27230/5663/6514/2822/2339/5319/8736/1855/23607/9475/89781/5007/3728/1398/2695/8692/79567/9520/8398/10519/25937/636/51104/59353/288/10425/55823/5583/5170/56257/3958/51366/9270/7376/10347/27063/3670/27237/1201/2037/9531/9619/8899/11079/4038/2696/6711/8554/26229/79608/5573/9378/6526/6810/3716/4836/7107/9696/81926/10160/6934/7200/1025/2040/9695/65018/1392/55691/7297/5580/23236/54741/4641/23682/5532/2150/5562/6622/4130/5071/7130/4826/51421/5175/7424/51112/57506/4088/10497/8660/5563/11132/5295/6794/10307/1387/10268/5357/22873/55696/4739/22902/80184/85459/322/7474/22841/2181/29098/5590/2746/54209/4804/4628/324/3675/9501/10979/6844/444/51686/80279/7042/23255/9847/6717/9854/2042/283/54795/23410/5950/79899/10580/5468/55204/10411/25999/5108/81603/6469/4926/3952/6653/7494/2621/6833/3305/10391/23171/8938/4035/11069/2737/161291/2151/55638/55107/7043/79971/3479/114899/18/25924/3708/5174/652/22885/4137/2066/10551",433
"GO:0010720","positive regulation of cell development","392/11536","447/18805",0.876957494407159,1.42954106122804,11.5787366171651,4.81839157060136e-36,6.13188511274729e-33,2.24790646746371e-33,"259266/8140/5080/140578/6790/6664/4821/53335/8792/6663/7804/3559/1230/64581/8767/3561/5365/3897/3574/3575/4860/4067/864/3458/942/3066/8876/10288/10507/284403/5788/274/706/100/7473/3600/2290/3549/939/3965/9308/7422/865/86/5457/6659/23028/3601/6850/5604/7480/7124/3569/4049/7097/2048/7852/1378/8772/3091/9513/1956/23566/10125/3071/1959/3135/8808/6376/84079/4192/7305/7133/5605/3297/3059/10221/5591/7052/54440/5578/3593/8651/3984/3558/9760/51393/6597/4898/80237/11006/9148/646/50848/6792/29117/3122/7101/8111/796/6688/6091/3398/7224/2124/920/6599/3635/64410/10456/695/2043/6461/51412/101/10215/8756/941/2547/5970/1954/3606/10800/6363/1002/1813/4654/55012/6009/10892/6722/8744/6608/3065/677/7292/55795/5501/8153/5584/11221/27185/26039/3586/10385/6603/4617/4099/972/4352/7535/4076/3707/4988/3553/7074/10419/60/7472/673/9444/3146/9001/2119/1627/4851/3565/51176/8087/2475/11344/841/1181/1636/9092/23316/22954/2332/56965/3845/63925/9840/8943/1826/1638/50487/57154/9175/6602/50937/1540/23476/3142/3706/23654/4825/177/26230/3605/9398/23191/55811/55626/6046/1982/1435/6598/10524/9798/51593/23394/23529/55274/22938/1523/7040/51043/2033/7520/22933/2664/50943/9294/65992/3688/5270/114548/89/301/6605/9820/7189/10494/6692/5196/816/1946/2852/4323/51199/23376/4673/23011/10458/1382/3981/6666/4976/572/5979/81501/3566/6604/5048/27020/57165/4853/4092/3594/3207/10013/5324/8482/399665/387/5458/650/2736/51561/4618/7161/3815/1605/659/11141/6498/9580/2335/7976/23013/5803/1385/5583/429/8600/3976/8650/56998/9423/4204/22985/4656/57698/5896/2670/8737/10636/55193/22890/8546/7071/7516/5649/2309/6474/57178/6777/23129/5789/2242/23363/27067/5991/6595/3280/399/10154/9655/23499/79006/8289/5925/5139/118/5530/6601/23405/7424/1499/4131/1960/627/22891/8654/8322/6794/3567/4124/29882/4739/22902/5914/2915/4602/604/51265/4920/54997/5624/558/7779/596/5590/26011/4179/54209/2803/80823/65981/3400/9353/8829/7048/5176/1003/2353/4747/4311/2247/6469/90865/9037/22906/4254/7494/2621/5764/6387/443/5364/7704/4915/2737/3572/7122/9370/5105/652/4036/4137/1524/2625",392
"GO:0050878","regulation of body fluid levels","339/11536","388/18805",0.873711340206186,1.42424945844117,10.6375870212655,1.3520772349111e-30,1.43387790762322e-27,5.25649675888243e-28,"1448/10855/7980/51378/3932/133/5341/362/4830/4067/2821/1535/959/5336/8525/7103/3783/5359/4939/239/2207/100/3291/8761/5588/7422/6338/1608/6484/6850/2692/9474/5912/5329/3569/2048/7454/348/3091/551/3099/3053/1956/525/5469/5795/7372/2153/23657/2160/1080/81027/958/23173/4778/5054/5567/5578/3570/7498/5321/790/151/5345/2165/9148/242/2923/360/1056/50848/1432/9060/56302/7006/2778/3170/5568/9002/6714/6690/2161/5638/6531/152/4883/10758/231/725/3172/84830/8323/5265/359/134/462/7414/5340/9158/2243/64714/3710/685/8858/3848/5328/10062/2266/5478/1813/6521/2131/6722/5291/11234/7410/5294/361/2132/80739/7448/1314/2030/3083/79057/2811/4580/7409/4627/5873/7099/51156/5617/51129/1192/1361/10627/1447/7421/7301/60/2768/22821/5055/5566/2677/79001/1585/5020/5155/5777/3998/1606/4583/928/59341/1131/29071/3273/1607/6343/84034/5028/7001/10461/81542/8673/27023/26276/2814/3705/79056/3037/160851/2316/284/954/5290/79803/65125/3717/2147/51043/2158/634/5581/2244/4780/308/51297/2159/5156/5270/363/11093/2815/10019/7369/2313/302/114897/71/1906/10630/5196/2623/1609/2979/2355/7392/5154/135/5023/57107/10672/1497/9612/7094/285/89781/3818/8692/4987/3690/7432/1465/3673/1385/10077/4986/7376/4846/5051/2771/112/1579/3360/6915/51763/966/51206/7035/5800/10544/6814/538/4879/8546/3356/2157/6777/3827/5580/4762/554/1910/8526/7057/2150/3611/57835/350/710/3315/2776/5530/2702/5639/6532/2155/2013/221037/6582/953/8648/22875/1952/2717/6337/11215/27347/7466/3043/6776/5624/558/7450/6779/5592/2149/948/4881/595/5021/9162/187/540/6403/5029/57493/57834/1511/8527/6340/5627/23452/10398/22915/79987/358/8835/6469/6812/2192/1281/10218/7056/5618/7494/2621/2191/11117/857/10391/2162/2151/2152/2697/55107/1036/5327/66002/3572/150/7166/10451/1311/2066/10551",339
"GO:0010038","response to metal ion","306/11536","347/18805",0.881844380403458,1.43750724458105,10.3627035879458,2.34663881178372e-29,2.1330946799114e-26,7.81977685250034e-27,"6279/983/4521/1894/3613/7037/5026/445/8437/5111/10397/55503/7412/114/4496/2821/57103/1841/645745/5336/3162/5641/8820/4502/5499/4501/58/15/3208/5359/664/2539/706/57817/10105/4494/999/9456/929/1788/142/64116/9076/468/246/2395/9474/5027/5743/6262/8904/84560/3091/7226/10165/1956/5536/7273/1536/3786/3297/4504/10058/4493/6261/3777/4495/265/3756/9362/55308/7036/113/811/360/3552/7184/2742/1728/6556/836/27132/3795/6531/7018/1050/120227/1544/359/4205/6786/5313/5009/2243/55532/3710/3292/1965/7351/2266/682/9350/1813/9361/5122/6331/4761/4520/5621/241/2185/3745/2937/3707/25932/7782/7390/9058/654/673/4193/57192/6569/3651/3746/1585/841/1740/7252/4583/7015/955/7222/3747/5516/3706/8754/1616/9451/567/2021/3184/3766/7341/846/27094/553115/3727/2664/2244/3726/4780/51596/8895/80271/11315/11093/1742/8826/10243/10369/2931/10235/6263/2741/1906/4968/8074/6529/23385/7134/351/10312/513/4048/4864/2235/3779/3981/7781/63928/23400/30819/64924/48/8913/22872/1357/4891/4331/2978/10060/6382/7518/1584/847/5515/4547/27345/79085/3815/23498/5741/8912/288/51542/1385/842/5066/5601/4204/10367/1261/4656/3077/2696/1800/29957/9378/538/10768/140609/5179/55512/7846/4297/2354/7054/4884/29072/5224/7020/10242/2729/6609/2890/7057/22871/5562/311/6622/5071/7139/9633/2067/466/368/221154/107/118/5530/4776/1373/6558/825/5563/4017/6649/845/23621/1543/1027/3736/27347/7474/7779/596/8644/5025/8678/444/540/5311/4499/4734/10016/8604/84059/4208/79800/5176/2353/210/1393/358/6469/7220/3778/477/3625/10628/6833/857/2203/1396/6857/4982/6898/7031/6505/18/4129/2167/4137/3158/79901",306
"GO:0048545","response to steroid hormone","299/11536","338/18805",0.884615384615385,1.44202429851702,10.3305092204387,2.88132012007672e-29,2.29172999050602e-26,8.40132287643423e-27,"8061/4821/952/6663/445/6502/133/11240/7298/5111/6715/54541/6943/2821/1364/336/3148/9420/3351/58/15/5788/706/6696/3291/5106/6338/11063/142/23028/9076/5467/8284/1312/2805/2692/8013/7124/3569/7097/11335/5743/64170/6755/3301/1956/5469/1536/9131/672/5724/6753/1446/23019/5594/10018/6446/3417/6597/790/811/6422/7533/8928/9125/7332/1977/249/836/2288/7101/5732/5058/6714/5931/7356/84830/1026/6559/11331/49/11170/55885/5970/2056/7181/7351/10062/4654/5122/3065/6049/8837/23205/677/7477/2720/10728/7023/3586/552/6256/190/6754/654/4838/4193/3651/8085/10498/5730/5978/5245/5020/1545/9113/1636/50616/5465/5207/2660/10076/498/6198/8754/1616/2796/6869/10413/2572/3192/6257/7352/9063/5069/478/4848/10474/476/2100/5290/81606/81285/3717/7040/6907/2033/9325/1369/3727/3726/10002/65992/79147/11315/23543/301/8725/1829/1655/2931/55818/5585/1906/2852/23376/2355/4864/2235/92595/6155/26508/64754/6339/79039/23558/9612/20/3725/6382/79876/3557/10013/51341/7538/387/5458/9575/799/1828/2693/374/6781/55823/2560/51542/8031/842/55625/51366/56937/3670/6909/51389/7110/7035/9667/6294/4824/79447/2309/55325/57178/1392/9604/4015/406/5187/23081/9101/23411/2354/7054/29966/7057/6879/8626/687/178/10499/3624/2/1407/51569/9611/6716/5139/7337/25959/1601/1373/2908/10521/10424/8648/21/6752/6258/6337/3275/306/6750/27347/2322/11057/3490/596/8644/6586/678/5021/55128/4734/590/7042/9353/5176/2353/1277/6340/4747/210/358/57658/594/4246/3485/477/10628/8611/6720/2099/3480/857/2690/4306/7043/1036/367/7349/6898/4129/9370/5105/4250/3158/3169/1408/5241",299
"GO:0071375","cellular response to peptide hormone stimulus","322/11536","369/18805",0.872628726287263,1.42248467387586,10.3253837837909,6.79913176654497e-29,4.80698615894729e-26,1.76220771867411e-26,"890/5080/990/445/6772/2888/51237/3973/6715/80339/4067/114/2642/2529/2058/83990/3638/23175/5588/1445/5106/6338/5315/142/4690/2805/2692/8013/1509/9978/5905/2641/2048/4644/1956/5795/9021/5910/238/3297/1438/6199/5591/5594/6654/5771/9734/88/2047/2264/5578/8651/10603/26291/2932/1394/1395/2049/4914/2778/57761/9971/5747/760/6714/6690/2195/3164/5579/2688/2885/30837/3172/6599/2043/208/5313/55532/5970/7351/79109/9361/8837/677/4142/2321/3416/51094/5584/1442/4593/5770/4691/5305/8615/3484/1444/3553/5781/2303/3718/7301/5829/9663/4193/2041/79837/8048/6885/5566/5140/4218/2740/2050/2475/2645/1585/1545/3265/23516/1636/6098/9640/65010/23484/5936/2660/6198/81565/9340/10461/1583/2044/4825/2887/3630/8503/4058/23191/7471/9518/5587/815/1969/5296/5290/207/3717/4486/7040/51043/634/4233/5894/79746/3645/4780/1979/23433/197/64710/25948/5156/1176/186/2931/1906/2844/2852/1436/2798/4790/2064/55777/8471/1443/2689/4149/10458/6774/140710/64506/6093/183/5979/2875/7253/6339/2822/27019/8396/5319/55022/8036/9475/1584/5458/1398/2693/6655/9882/645/29988/3815/3690/858/2324/5170/55625/27131/2771/64397/112/2549/8850/23235/51763/54328/5872/23038/5573/2260/4916/10768/3716/7249/6464/6517/8473/6777/6667/55023/7297/5580/5786/23236/23411/51141/54741/4641/2263/2729/5286/10014/2890/5562/55667/10499/23189/3624/26060/6443/5925/5530/5595/4921/4131/5791/1373/8660/490/11132/5295/7010/6778/8648/5164/4303/6548/1291/6337/3791/8452/4920/3643/2322/6776/558/5590/324/8412/2261/6844/4929/114882/5919/9847/2308/2042/2353/6340/2241/10580/5468/5166/1393/8835/55198/11031/3952/7075/6653/3625/6720/7494/3480/5159/857/2203/2045/1909/2690/4915/5167/185/3667/2200/23371/9370/5105/2066/3158",322
"GO:0003018","vascular process in circulatory system","252/11536","278/18805",0.906474820143885,1.4776576796815,10.1076925273319,8.98964492858261e-29,5.02451425226191e-26,1.84195200592445e-26,"8140/875/952/6536/7037/59272/133/2643/6508/136/2730/2296/6515/10257/3351/6541/2171/1812/6916/55640/8884/6513/3177/7873/6510/1244/7422/6338/147/6573/6566/5467/9474/7124/613/5743/8985/348/4363/551/1956/5795/9414/1908/7525/5910/11309/4880/10991/153/151/5345/4878/155/6714/796/40/152/11156/3741/134/6507/3792/64849/154796/5997/6565/2243/2876/3579/10800/10911/2266/4842/2131/2132/6581/3274/2030/59342/566/3676/6647/552/80005/28232/2303/654/4037/1816/3680/1636/6865/8671/59341/6523/6456/80852/6533/5028/3352/6869/177/3630/9368/6528/148/284/10057/7040/846/634/4544/2244/146/1401/3688/9153/54716/186/6540/3269/1906/2852/9376/6529/6580/54407/493/3779/135/6640/6093/183/5023/5339/53919/20/6506/10060/9475/387/624/489/27345/9194/659/25/9839/9270/4846/8195/56998/112/8850/6915/3764/10273/6526/4879/6517/59/3356/10396/23576/81539/2909/3827/6543/2828/6509/554/2982/1910/6546/3363/6567/10242/2729/3672/7082/5286/120/8714/2150/1889/154/9732/5139/2702/6532/1373/6582/6558/490/81031/6649/7010/10365/3643/3043/3350/482/5592/2149/948/100506658/57419/1621/4881/5021/10979/83483/5029/6584/9353/1907/553/27134/1003/54795/3953/2166/5243/79987/3952/3778/8864/477/4313/6833/857/23446/6542/1909/5138/23428/4035/4922/9429/9498/9590/185/3357/7349/150/7122/6505/10266/196740/1311/4036",252
